food_id	food_name
162410	Grana Padano, DOP
162420	Groviera
163200	Italico
164400	Latteria
164800	Mascarpone
164810	Mozzarella di bufala
164811	Mozzarella di bufala campana DOP
164820	Mozzarella di vacca
166000	Parmigiano Reggiano DOP
166010	Caciottina mista
166050	Pecorino
166060	Pecorino romano
166070	Pecorino siciliano
166100	Provolone
166800	Ricotta di bufala
166810	Ricotta di pecora
166820	Ricotta di vacca
166850	Robiola
167200	Scamorza
167250	Stracchino
167600	Taleggio
170010	Fiocchi di formaggio magro
170510	Formaggio cremoso spalmabile, light
180010	Uova di anatra, intero
181100	Uova di gallina, intero
181105	Uova di gallina, intero , cotto, alla coque o sodo
181117	Uova di gallina, intero , cotto, a frittata o strapazzato
181500	Uova di gallina, intero, congelato
181600	Uova di gallina, intero, in polvere
182010	Uova di gallina, albume
183010	Uova di gallina, tuorlo
183015	Uova di gallina, tuorlo , cotto, in camicia
183800	Uova di gallina, tuorlo, congelato
183900	Uova di gallina, tuorlo, in polvere
185010	Uova di oca, intero
189010	Uova di tacchina, intero
190010	Burro
191010	Lardo
192010	Sego di bue
193010	Strutto o sugna
194000	Olio di fegato di merluzzo
201500	Zucchero, saccarosio
202010	Caramelle dure
202020	Caramelle tipo &quot;mou&quot;
202030	Lenti colorate ripiene di cioccolato
202500	Gomme da masticare, lastrine e confetti
202800	Torrone alla mandorla
203010	Cioccolato, al latte
203020	Cioccolato, fondente
203030	Cioccolato, al latte con nocciole
203500	Crema di nocciole e cacao
204010	Canditi
204500	Marmellata
206010	Gelato confezionato, cacao, in vaschetta
206020	Gelato confezionato, caffè, in vaschetta
206040	Gelato confezionato, fior di latte, in vaschetta
206050	Gelato confezionato, fior di latte, ricoperto di sorbetto alla fragola
206060	Gelato confezionato, nocciola, in vaschetta
206070	Gelato confezionato, panna, in vaschetta
206080	Gelato confezionato, panna ricoperta di cioccolato fondente
206090	Gelato confezionato, stracciatella, in vaschetta
206100	Gelato confezionato, vaniglia, in vaschetta
206260	Gelato confezionato, biscotto con crema, zabaione e cioccolato
206270	Gelato confezionato, cono con panna e cioccolato
206280	Gelato confezionato, cono con panna, scaglie di cioccolato e noccioline
206710	Gelato confezionato, ghiacciolo all'arancio
206800	Gelato confezionato, sorbetto al limone, in vaschetta
207010	Baba' al rhum
207020	Cannoli alla crema, industriale
208500	Crostata, con crema al cacao, industriale
208510	Crostata, con marmellata, industriale
208520	Crostata, con marmellata di albicocche, industriale
209010	Torta margherita
210010	Miele
210030	Merendine, con marmellata, industriale
210040	Merendine, farcite con cacao, industriale
210050	Merendine, tipo pan di Spagna, industriale
210060	Merendine, tipo briosche, industriale
210070	Merendine, tipo pasta frolla, industriale
214000	Barretta al cocco ricoperta di cioccolato
214500	Wafer ricoperto di cioccolato
215000	Savoiardi, industriali
216000	Panettone
217000	Pasta di mandorle
401010	Aranciata
401100	Bevanda tipo cola
403010	Bevanda alcolica, Aperitivo a base di vino
404010	Bevanda alcolica, Birra chiara
405010	Bevanda alcolica, Vino da pasto bianco
405020	Bevanda alcolica, Vino da pasto rosso
406010	Bevanda alcolica, Marsala tipico
406500	Bevanda alcolica, Vermouth dolce
406510	Bevanda alcolica, Vermouth secco
407010	Bevanda alcolica, Liquori da dessert
407510	Bevanda alcolica, Marsala all'uovo
408010	Bevanda alcolica, Brandy
408100	Bevanda alcolica, Grappa
408900	Bevanda alcolica, Whisky
409000	Bevanda alcolica, Spumante
501200	Pop corn
502260	Ketchup, salsa
502760	Maionese, industriale
503010	Dadi da brodo
503100	Lievito di birra, compresso
504010	Farina di castagne
504100	Fecola di patate
507100	Pappa reale
508010	Cacao amaro, in polvere
508100	Tè, foglie
508200	Caffe' tostato
509010	Soia, bevanda
509020	Soia, salsa
509030	Soia, yogurt
900010	Minestre in scatola, crema di asparagi
900110	Minestre in scatola, crema di cipolle
900210	Minestre in scatola, crema di funghi
900310	Minestre in scatola, crema di pollo
900410	Minestre in scatola, crema di pomodori
905010	Minestrone, cotto
905100	Minestrone liofilizzato
PC0001	Pizza Napoletana Margherita STG
PC0002	Cannoli siciliani
PC0003	Brasato al Barolo
PC0004	Baccalà alla vicentina
PC0005	Castagnaccio
PC0006	Sugo di pomodoro
PC0007	Ragù alla bolognese
PC0008	Pesto alla genovese
PC0009	Risotto alla parmigiana
PC0010	Pasta e fagioli
PC0011	Frittata
PC0012	Spezzatino di vitellone al vino rosso
PC0013	Scaloppina di tacchino al limone
PC0014	Trota al forno
PC0015	Merluzzo in umido
PC0016	Pasta al sugo di pomodoro
PC0017	Pasta al ragù alla bolognese
PC0018	Pasta al pesto alla genovese
PC0019	Riso al sugo di pomodoro
PC0020	Riso al ragù alla bolognese
PC0021	Riso burro e Parmigiano reggiano
PC0022	Gnocchi al sugo di pomodoro
PC0023	Gnocchi al ragù alla bolognese
PC0024	Gnocchi al pesto alla genovese
PC0025	Ravioli al burro e salvia
PC0026	Ravioli al sugo di pomodoro
PC0027	Polenta al sugo di pomodoro
PC0028	Polenta al ragù alla bolognese
PC0029	Alici al forno
PC0030	Spigola al cartoccio
PC0031	Sogliola al vino bianco
PC0032	Frittata prosciutto e formaggio
PC0033	Pasta cacio e pepe
PC0034	Pasta burro e parmigiano
PC0035	Pasta aglio, olio e peperoncino
PC0036	Alici marinate
PC0037	Pasta alla carbonara
PC0038	Pasta alle vongole
PC0039	Pasta alla amatriciana
PC0040	Carciofi alla romana
PC0041	Pomodori al riso
PC0042	Parmigiana di melanzane
PC0043	Gateau
